Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,borderleaf1-DC1,Ethernet3,192.168.103.25/31,spine,spine1-DC1,Ethernet6,192.168.103.24/31
l3leaf,borderleaf1-DC1,Ethernet4,192.168.103.27/31,spine,spine2-DC1,Ethernet6,192.168.103.26/31
l3leaf,borderleaf1-DC1,Ethernet5,192.168.103.29/31,spine,spine3-DC1,Ethernet6,192.168.103.28/31
l3leaf,borderleaf1-DC2,Ethernet3,192.168.203.25/31,spine,spine1-DC2,Ethernet6,192.168.203.24/31
l3leaf,borderleaf1-DC2,Ethernet4,192.168.203.27/31,spine,spine2-DC2,Ethernet6,192.168.203.26/31
l3leaf,borderleaf1-DC2,Ethernet5,192.168.203.29/31,spine,spine3-DC2,Ethernet6,192.168.203.28/31
l3leaf,borderleaf2-DC1,Ethernet3,192.168.103.31/31,spine,spine1-DC1,Ethernet7,192.168.103.30/31
l3leaf,borderleaf2-DC1,Ethernet4,192.168.103.33/31,spine,spine2-DC1,Ethernet7,192.168.103.32/31
l3leaf,borderleaf2-DC1,Ethernet5,192.168.103.35/31,spine,spine3-DC1,Ethernet7,192.168.103.34/31
l3leaf,borderleaf2-DC2,Ethernet3,192.168.203.31/31,spine,spine1-DC2,Ethernet7,192.168.203.30/31
l3leaf,borderleaf2-DC2,Ethernet4,192.168.203.33/31,spine,spine2-DC2,Ethernet7,192.168.203.32/31
l3leaf,borderleaf2-DC2,Ethernet5,192.168.203.35/31,spine,spine3-DC2,Ethernet7,192.168.203.34/31
l3leaf,leaf1-DC1,Ethernet3,192.168.103.1/31,spine,spine1-DC1,Ethernet2,192.168.103.0/31
l3leaf,leaf1-DC1,Ethernet4,192.168.103.3/31,spine,spine2-DC1,Ethernet2,192.168.103.2/31
l3leaf,leaf1-DC1,Ethernet5,192.168.103.5/31,spine,spine3-DC1,Ethernet2,192.168.103.4/31
l3leaf,leaf1-DC2,Ethernet3,192.168.203.1/31,spine,spine1-DC2,Ethernet2,192.168.203.0/31
l3leaf,leaf1-DC2,Ethernet4,192.168.203.3/31,spine,spine2-DC2,Ethernet2,192.168.203.2/31
l3leaf,leaf1-DC2,Ethernet5,192.168.203.5/31,spine,spine3-DC2,Ethernet2,192.168.203.4/31
l3leaf,leaf2-DC1,Ethernet3,192.168.103.7/31,spine,spine1-DC1,Ethernet3,192.168.103.6/31
l3leaf,leaf2-DC1,Ethernet4,192.168.103.9/31,spine,spine2-DC1,Ethernet3,192.168.103.8/31
l3leaf,leaf2-DC1,Ethernet5,192.168.103.11/31,spine,spine3-DC1,Ethernet3,192.168.103.10/31
l3leaf,leaf2-DC2,Ethernet3,192.168.203.7/31,spine,spine1-DC2,Ethernet3,192.168.203.6/31
l3leaf,leaf2-DC2,Ethernet4,192.168.203.9/31,spine,spine2-DC2,Ethernet3,192.168.203.8/31
l3leaf,leaf2-DC2,Ethernet5,192.168.203.11/31,spine,spine3-DC2,Ethernet3,192.168.203.10/31
l3leaf,leaf3-DC1,Ethernet3,192.168.103.13/31,spine,spine1-DC1,Ethernet4,192.168.103.12/31
l3leaf,leaf3-DC1,Ethernet4,192.168.103.15/31,spine,spine2-DC1,Ethernet4,192.168.103.14/31
l3leaf,leaf3-DC1,Ethernet5,192.168.103.17/31,spine,spine3-DC1,Ethernet4,192.168.103.16/31
l3leaf,leaf3-DC2,Ethernet3,192.168.203.13/31,spine,spine1-DC2,Ethernet4,192.168.203.12/31
l3leaf,leaf3-DC2,Ethernet4,192.168.203.15/31,spine,spine2-DC2,Ethernet4,192.168.203.14/31
l3leaf,leaf3-DC2,Ethernet5,192.168.203.17/31,spine,spine3-DC2,Ethernet4,192.168.203.16/31
l3leaf,leaf4-DC1,Ethernet3,192.168.103.19/31,spine,spine1-DC1,Ethernet5,192.168.103.18/31
l3leaf,leaf4-DC1,Ethernet4,192.168.103.21/31,spine,spine2-DC1,Ethernet5,192.168.103.20/31
l3leaf,leaf4-DC1,Ethernet5,192.168.103.23/31,spine,spine3-DC1,Ethernet5,192.168.103.22/31
l3leaf,leaf4-DC2,Ethernet3,192.168.203.19/31,spine,spine1-DC2,Ethernet5,192.168.203.18/31
l3leaf,leaf4-DC2,Ethernet4,192.168.203.21/31,spine,spine2-DC2,Ethernet5,192.168.203.20/31
l3leaf,leaf4-DC2,Ethernet5,192.168.203.23/31,spine,spine3-DC2,Ethernet5,192.168.203.22/31
