test_id,node,test_category,test_description,test,result,failure_reason
1,borderleaf1-DC1,NTP,Synchronised with NTP server,NTP,PASS,
2,borderleaf1-DC2,NTP,Synchronised with NTP server,NTP,PASS,
3,borderleaf2-DC1,NTP,Synchronised with NTP server,NTP,PASS,
4,borderleaf2-DC2,NTP,Synchronised with NTP server,NTP,PASS,
5,DCI,NTP,Synchronised with NTP server,NTP,PASS,
6,leaf1-DC1,NTP,Synchronised with NTP server,NTP,PASS,
7,leaf1-DC2,NTP,Synchronised with NTP server,NTP,PASS,
8,leaf2-DC1,NTP,Synchronised with NTP server,NTP,PASS,
9,leaf2-DC2,NTP,Synchronised with NTP server,NTP,PASS,
10,leaf3-DC1,NTP,Synchronised with NTP server,NTP,PASS,
11,leaf3-DC2,NTP,Synchronised with NTP server,NTP,PASS,
12,leaf4-DC1,NTP,Synchronised with NTP server,NTP,PASS,
13,leaf4-DC2,NTP,Synchronised with NTP server,NTP,PASS,
14,spine1-DC1,NTP,Synchronised with NTP server,NTP,PASS,
15,spine1-DC2,NTP,Synchronised with NTP server,NTP,PASS,
16,spine2-DC1,NTP,Synchronised with NTP server,NTP,PASS,
17,spine2-DC2,NTP,Synchronised with NTP server,NTP,PASS,
18,spine3-DC1,NTP,Synchronised with NTP server,NTP,PASS,
19,spine3-DC2,NTP,Synchronised with NTP server,NTP,PASS,
20,borderleaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_borderleaf2-DC1_Ethernet1,PASS,
21,borderleaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_borderleaf2-DC1_Ethernet2,PASS,
22,borderleaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet6,PASS,
23,borderleaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet6,PASS,
24,borderleaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet6,PASS,
25,borderleaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet12 - P2P_LINK_TO_DCI_Ethernet1,PASS,
26,borderleaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_borderleaf2-DC2_Ethernet1,PASS,
27,borderleaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_borderleaf2-DC2_Ethernet2,PASS,
28,borderleaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC2_Ethernet6,PASS,
29,borderleaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC2_Ethernet6,PASS,
30,borderleaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC2_Ethernet6,PASS,
31,borderleaf1-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet12 - P2P_LINK_TO_DCI_Ethernet3,PASS,
32,borderleaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_borderleaf1-DC1_Ethernet1,PASS,
33,borderleaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_borderleaf1-DC1_Ethernet2,PASS,
34,borderleaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet7,PASS,
35,borderleaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet7,PASS,
36,borderleaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet7,PASS,
37,borderleaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet12 - P2P_LINK_TO_DCI_Ethernet2,PASS,
38,borderleaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_borderleaf1-DC2_Ethernet1,PASS,
39,borderleaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_borderleaf1-DC2_Ethernet2,PASS,
40,borderleaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC2_Ethernet7,PASS,
41,borderleaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC2_Ethernet7,PASS,
42,borderleaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC2_Ethernet7,PASS,
43,borderleaf2-DC2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet12 - P2P_LINK_TO_DCI_Etherne4,PASS,
